Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Nguyễn Văn Khối,Phường 11,Quận Gò Vấp,1,72,,4,6,,"Nhà mặt phố, mặt tiền",16500000000,"16,5 tỷ",229.16667
Đường Chiến Lược,Phường Bình Trị Đông A,Quận Bình Tân,1,45,2,3,2,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",84.44444
Đường Âu Cơ,Phường Tân Thành,Quận Tân Phú,1,52,,1,,,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",144.23077
Đường Đặng Văn Bi,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,65,1,2,,,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",59.23077
Đường Bến Bình Đông,Phường 15,Quận 8,5,14,,1,1,,"Nhà ngõ, hẻm",620000000,620 triệu,44.285713
Cách mạng tháng tám,Phường 15,Quận 10,1,58,2,2,,,"Nhà mặt phố, mặt tiền",11200000000,"11,2 tỷ",193.10345
Đường Nguyễn Sơn,Phường Phú Thọ Hòa,Quận Tân Phú,1,56,2,2,2,Hướng Đông,"Nhà ngõ, hẻm",4300000000,"4,3 tỷ",76.78571
Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,1,25.2,,1,,Hướng Tây Bắc,"Nhà ngõ, hẻm",2450000000,"2,45 tỷ",97.22222
Hẻm 95 Lê Văn Lương,Phường Tân Kiểng,Quận 7,1,50.4,4,4,4,,"Nhà mặt phố, mặt tiền",6790000000,"6,79 tỷ",134.72223
Đường 59,Phường 14,Quận Gò Vấp,1,40,,4,,,"Nhà ngõ, hẻm",6000000000,6 tỷ,150
Đường Nguyễn Thị Tần,Phường 2,Quận 8,1,48,2,2,2,,"Nhà ngõ, hẻm",4650000000,"4,65 tỷ",96.875
Đường Nguyễn Thị Thập,Phường Tân Phú,Quận 7,6,16,2,2,1,Hướng Nam,"Nhà ngõ, hẻm",640000000,640 triệu,40
Đường Nguyễn Thị Thảnh,Xã Thới Tam Thôn,Huyện Hóc Môn,1,711,2,4,5,Hướng Tây,Nhà biệt thự,20000000000,20 tỷ,28.129395
Nguyễn Sơn,Phường Phú Thạnh,Quận Tân Phú,1,75,,3,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",86.666664
Đường số 7,Phường Bình Trị Đông B,Quận Bình Tân,1,120,3,5,4,Hướng Bắc,"Nhà mặt phố, mặt tiền",27000000000,27 tỷ,225
Đường Trịnh Đình Trọng,Phường Hòa Thạnh,Quận Tân Phú,1,123,,11,,,"Nhà mặt phố, mặt tiền",15500000000,"15,5 tỷ",126.01626
Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Quận Bình Tân,1,63,3,5,5,,"Nhà ngõ, hẻm",9200000000,"9,2 tỷ",146.03175
Đường Dương Bá Trạc,Phường 1,Quận 8,1,41,,5,5,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",120.731705
Đường Số 8,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,62,4,4,4,Hướng Bắc,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",120.96774
Đường số 8,Phường Linh Xuân (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,70,2,3,3,,"Nhà ngõ, hẻm",4690000000,"4,69 tỷ",67
Đường Âu Cơ,Phường Tân Thành,Quận Tân Phú,1,52,,3,,,"Nhà mặt phố, mặt tiền",7700000000,"7,7 tỷ",148.07692
Đường Bùi Văn Ba,Phường Tân Thuận Đông,Quận 7,6,10,1,1,1,Hướng Tây,"Nhà ngõ, hẻm",449000000,449 triệu,44.9
Đường Hoàng Diệu,Phường 10,Quận Phú Nhuận,1,59,4,4,3,,"Nhà ngõ, hẻm",9300000000,"9,3 tỷ",157.62712
Đường Tô Ngọc Vân,Phường Thạnh Xuân,Quận 12,1,56,3,4,5,Hướng Đông Bắc,"Nhà mặt phố, mặt tiền",5640000000,"5,64 tỷ",100.71429
Tân Kì Tân Quý,Phường Bình Hưng Hòa,Quận Bình Tân,1,64.4,3,4,4,Hướng Nam,"Nhà ngõ, hẻm",5300000000,"5,3 tỷ",82.298134
Đường Tây Thạnh,Phường Tây Thạnh,Quận Tân Phú,1,50,2,2,1,,"Nhà mặt phố, mặt tiền",5800000000,"5,8 tỷ",116
Đường Đinh Đức Thiện,Xã Bình Chánh,Huyện Bình Chánh,1,100,1,3,2,,"Nhà mặt phố, mặt tiền",1050000000,"1,05 tỷ",10.5
Đường Gò Dầu,Phường Tân Quý,Quận Tân Phú,1,56,3,3,3,,"Nhà ngõ, hẻm",8500000000,"8,5 tỷ",151.78572
Đường Gò Dầu,Phường Tân Quý,Quận Tân Phú,1,70,3,4,,,"Nhà ngõ, hẻm",8700000000,"8,7 tỷ",124.28571
Đường Vườn Lài,Phường Phú Thọ Hòa,Quận Tân Phú,1,68,2,2,,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",97.05882
Đường Diên Hồng,Phường 1,Quận Bình Thạnh,1,54,,2,,,"Nhà ngõ, hẻm",7500000000,"7,5 tỷ",138.88889
Đường Phú Thọ Hoà,Phường Phú Thọ Hòa,Quận Tân Phú,1,36,4,3,3,,"Nhà ngõ, hẻm",5250000000,"5,25 tỷ",145.83333
Đường Trần Hưng Đạo,Phường Cầu Kho,Quận 1,1,38,5,5,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",171.05263
Đường Đỗ Xuân Hợp,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,1,50,2,2,2,Hướng Tây Bắc,"Nhà ngõ, hẻm",4700000000,"4,7 tỷ",94
