Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Trường Chinh,Phường 14,Quận Tân Bình,1,20,,4,,,"Nhà ngõ, hẻm",2300000000,"2,3 tỷ",115
Đường Tân Thới Nhất 13,Phường Tân Thới Nhất,Quận 12,1,320,,1,,Hướng Bắc,"Nhà ngõ, hẻm",14000000000,14 tỷ,43.75
Đường Quốc Lộ 13 Cũ,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,547,1,5,2,,"Nhà ngõ, hẻm",37000000000,37 tỷ,67.641685
Đường số 48,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,56,33,4,4,,"Nhà ngõ, hẻm",2790000000,"2,79 tỷ",49.82143
Đường Ung Văn Khiêm,Phường 25,Quận Bình Thạnh,1,60,44,4,3,,"Nhà ngõ, hẻm",4900000000,"4,9 tỷ",81.666664
Đường Trần Kế Xương,Phường 7,Quận Phú Nhuận,1,55,4,4,,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",69.09091
Đường Nguyễn Văn Nghi,Phường 5,Quận Gò Vấp,1,52,33,3,4,,"Nhà ngõ, hẻm",3140000000,"3,14 tỷ",60.384617
Đường Trường Chinh,Phường Tân Thới Nhất,Quận 12,1,100,4,6,6,Hướng Đông Bắc,"Nhà ngõ, hẻm",10500000000,"10,5 tỷ",105
Đường Phan Huy Ích,Phường 12,Quận Gò Vấp,1,52,,3,,,"Nhà ngõ, hẻm",7580000000,"7,58 tỷ",145.76923
Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Quận Bình Tân,1,48,,4,5,Hướng Tây,"Nhà ngõ, hẻm",6000000000,6 tỷ,125
Đường Tân Hòa 2,Phường Hiệp Phú (Quận 9 cũ),Thành phố Thủ Đức,1,176,3,5,4,,"Nhà mặt phố, mặt tiền",17600000000,"17,6 tỷ",100
Đường Tô Hiến Thành,Phường 14,Quận 10,1,30,,4,,,"Nhà ngõ, hẻm",2900000000,"2,9 tỷ",96.666664
Đường Phan Huy Ích,Phường 12,Quận Gò Vấp,1,48,,2,2,,"Nhà ngõ, hẻm",4600000000,"4,6 tỷ",95.833336
Đường Trường Chinh,Phường Tân Thới Nhất,Quận 12,1,95,2,4,4,Hướng Tây Nam,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",68.42105
3/2,Phường 14,Quận 10,1,100,,5,,,"Nhà ngõ, hẻm",16000000000,16 tỷ,160
Đường Hà Huy Giáp,Phường Thạnh Lộc,Quận 12,1,20,2,2,1,,"Nhà ngõ, hẻm",660000000,660 triệu,33
Đường Liên khu 4-5,Phường Bình Hưng Hoà B,Quận Bình Tân,1,60,,4,4,Hướng Bắc,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",75
Đường Hiệp Thành 6,Phường Hiệp Thành,Quận 12,1,100,1,2,2,Hướng Bắc,"Nhà mặt phố, mặt tiền",5200000000,"5,2 tỷ",52
Đường số 4,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,85,,4,3,,"Nhà ngõ, hẻm",5800000000,"5,8 tỷ",68.23529
Đường Nguyễn Thần Hiến,Phường 18,Quận 4,1,55,,3,,,"Nhà ngõ, hẻm",5490000000,"5,49 tỷ",99.818184
Đường Tỉnh lộ 10,Phường Bình Trị Đông A,Quận Bình Tân,1,52,4,4,5,,"Nhà ngõ, hẻm",4690000000,"4,69 tỷ",90.19231
Hẻm Bến Than Số 77,Xã Tân Thạnh Đông,Huyện Củ Chi,1,203,1,2,1,Hướng Đông Nam,"Nhà ngõ, hẻm",2200000000,"2,2 tỷ",10.837439
Đường Lưu Chí Hiếu,Phường Tây Thạnh,Quận Tân Phú,1,60,,4,4,,"Nhà ngõ, hẻm",8200000000,"8,2 tỷ",136.66667
Đường Nguyễn Kim Cương,Xã Tân Thạnh Đông,Huyện Củ Chi,1,48,1,2,1,Hướng Tây Nam,"Nhà ngõ, hẻm",1300000000,"1,3 tỷ",27.083334
Đường số 51,Phường 14,Quận Gò Vấp,1,42,2,2,2,Hướng Tây Bắc,"Nhà ngõ, hẻm",4580000000,"4,58 tỷ",109.04762
Đường Tô Hiến Thành,Phường 13,Quận 10,1,10,4,4,3,,"Nhà ngõ, hẻm",1990000000,"1,99 tỷ",199
Đường số 19,Phường Bình Hưng Hoà A,Quận Bình Tân,1,100,2,3,5,,"Nhà ngõ, hẻm",6900000000,"6,9 tỷ",69
Đường Ngô Chí Quốc,Phường Bình Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,59,2,3,2,Hướng Đông Nam,"Nhà ngõ, hẻm",3500000000,"3,5 tỷ",59.322033
Đường Tỉnh lộ 15,Xã Tân Thạnh Đông,Huyện Củ Chi,1,179,1,2,1,Hướng Tây Bắc,"Nhà mặt phố, mặt tiền",2200000000,"2,2 tỷ",12.290503
Đường số 3,Phường 9,Quận Gò Vấp,1,70,3,3,3,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",92.85714
Lê văn quới ,Phường Bình Trị Đông A,Quận Bình Tân,1,90,,4,6,,"Nhà ngõ, hẻm",10800000000,"10,8 tỷ",120
Đường Trần Quý Cáp,Phường 12,Quận Bình Thạnh,1,112,6,11,7,,"Nhà mặt phố, mặt tiền",20900000000,"20,9 tỷ",186.60715
Đường Thiên Phước,Phường 9,Quận Tân Bình,1,30,2,3,3,Hướng Tây Nam,"Nhà ngõ, hẻm",5200000000,"5,2 tỷ",173.33333
Đường Số 11,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,90,1,2,2,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",73.333336
Lê Sao,Phường Phú Thạnh,Quận Tân Phú,1,150,2,4,1,,"Nhà mặt phố, mặt tiền",16500000000,"16,5 tỷ",110
Đường Lê Lâm,Phường Phú Thạnh,Quận Tân Phú,1,145.6,1,1,1,,"Nhà mặt phố, mặt tiền",17500000000,"17,5 tỷ",120.19231
Đường Trịnh Như Khuê,Xã Bình Chánh,Huyện Bình Chánh,1,100,1,3,2,,"Nhà mặt phố, mặt tiền",850000000,850 triệu,8.5
Đường Năm Châu,Phường 11,Quận Tân Bình,1,56,2,2,2,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",88.39286
Đường Phạm Văn Bạch,Phường 12,Quận Gò Vấp,1,92,1,2,2,,"Nhà mặt phố, mặt tiền",14200000000,"14,2 tỷ",154.34782
Đường Tân Quý,Phường Tân Quý,Quận Tân Phú,1,226.32,,11,7,,"Nhà ngõ, hẻm",21500000000,"21,5 tỷ",94.99823
Đường Tân Quý,Phường Tân Quý,Quận Tân Phú,1,40.95,1,1,1,,"Nhà ngõ, hẻm",4350000000,"4,35 tỷ",106.227104
Lê Sao,Phường Phú Thạnh,Quận Tân Phú,1,120,3,5,4,,"Nhà mặt phố, mặt tiền",13000000000,13 tỷ,108.333336
Hẻm 12 Lưu Chí Hiếu,Phường Tây Thạnh,Quận Tân Phú,1,24,2,3,2,Hướng Tây,"Nhà ngõ, hẻm",1450000000,"1,45 tỷ",60.416668
Đường Tân Hương,Phường Tân Quý,Quận Tân Phú,1,80,4,11,7,,"Nhà mặt phố, mặt tiền",13000000000,13 tỷ,162.5
Đường Song Hành Quốc Lộ 22,Thị trấn Hóc Môn,Huyện Hóc Môn,1,192,1,4,3,Hướng Tây Bắc,"Nhà ngõ, hẻm",4300000000,"4,3 tỷ",22.395834
Đường Quốc lộ 22,Xã Tân Thới Nhì,Huyện Hóc Môn,1,1159,1,5,5,,"Nhà mặt phố, mặt tiền",35000000000,35 tỷ,30.198446
Đường Đỗ Nhuận,Phường Sơn Kỳ,Quận Tân Phú,1,100,5,11,7,,"Nhà mặt phố, mặt tiền",12800000000,"12,8 tỷ",128
Đường Nguyễn Sơn,Phường Phú Thạnh,Quận Tân Phú,1,160,,1,,,"Nhà mặt phố, mặt tiền",30000000000,30 tỷ,187.5
Số 8,Phường Bình Hưng Hòa,Quận Bình Tân,1,45,,11,7,,"Nhà ngõ, hẻm",3950000000,"3,95 tỷ",87.77778
Đường Huỳnh Tấn Phát,Thị trấn Nhà Bè,Huyện Nhà Bè,5,39,1,3,2,,"Nhà ngõ, hẻm",1490000000,"1,49 tỷ",38.205128
Hẻm 5/109 Nơ Trang Long,Phường 7,Quận Bình Thạnh,1,40,4,5,3,,"Nhà ngõ, hẻm",7800000000,"7,8 tỷ",195
Đường Đinh Đức Thiện,Xã Bình Chánh,Huyện Bình Chánh,1,80,1,2,2,,"Nhà ngõ, hẻm",920000000,920 triệu,11.5
Đường Quang Trung,Phường 8,Quận Gò Vấp,1,53,,4,,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",128.30188
Trịnh Thị Dối,Xã Đông Thạnh,Huyện Hóc Môn,1,216,,2,,,"Nhà ngõ, hẻm",6000000000,6 tỷ,27.777779
Đường An Phú Tây - Hưng Long,Xã Hưng Long,Huyện Bình Chánh,1,94,,3,2,,"Nhà ngõ, hẻm",1890000000,"1,89 tỷ",20.106382
Nguyễn Văn Tạo,Xã Long Thới,Huyện Nhà Bè,1,105,2,3,3,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",52.38095
Đường Thống Nhất,Phường 11,Quận Gò Vấp,1,84,4,4,5,,"Nhà ngõ, hẻm",7000000000,7 tỷ,83.333336
Đường Nguyễn Thị Đặng,Phường Tân Thới Hiệp,Quận 12,5,40,,2,,,"Nhà ngõ, hẻm",1450000000,"1,45 tỷ",36.25
Số 3,Phường Bình Trị Đông B,Quận Bình Tân,1,80,,4,4,,"Nhà mặt phố, mặt tiền",9300000000,"9,3 tỷ",116.25
Đường Nguyễn Tư Giản,Phường 12,Quận Gò Vấp,1,35,2,2,2,Hướng Đông Nam,"Nhà ngõ, hẻm",3900000000,"3,9 tỷ",111.42857
Đường Quang Trung,Phường Hiệp Phú (Quận 9 cũ),Thành phố Thủ Đức,1,110,4,4,5,,"Nhà ngõ, hẻm",10500000000,"10,5 tỷ",95.454544
Đường Sư Vạn Hạnh,Phường 9,Quận 10,1,70,,4,,,"Nhà mặt phố, mặt tiền",16500000000,"16,5 tỷ",235.71428
Đường Phú Hòa,Phường 8,Quận Tân Bình,1,61,4,5,6,,"Nhà mặt phố, mặt tiền",22000000000,22 tỷ,360.65573
Đường Phú Hòa,Phường 8,Quận Tân Bình,1,61,4,5,6,,"Nhà mặt phố, mặt tiền",22000000000,22 tỷ,360.65573
Lê Văn Thọ,Phường 9,Quận Gò Vấp,1,82,5,6,6,,"Nhà ngõ, hẻm",7950000000,"7,95 tỷ",96.95122
Đường Thống Nhất,Phường 16,Quận Gò Vấp,1,24,,2,1,,"Nhà ngõ, hẻm",2950000000,"2,95 tỷ",122.916664
Đường Trần Thái Tông,Phường 15,Quận Tân Bình,1,50,3,4,3,,Nhà phố liền kề,7200000000,"7,2 tỷ",144
Đường Dạ Nam,Phường 2,Quận 8,1,45.7,3,3,3,,"Nhà ngõ, hẻm",4200000000,"4,2 tỷ",91.90372
Đường Lê Quang Định,Phường 5,Quận Bình Thạnh,1,47,4,4,4,,"Nhà ngõ, hẻm",7500000000,"7,5 tỷ",159.57446
Đường số 26,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,63,,3,,,"Nhà ngõ, hẻm",4800000000,"4,8 tỷ",76.190475
Đường Thành Thái,Phường 12,Quận 10,1,32,,2,2,,"Nhà ngõ, hẻm",5900000000,"5,9 tỷ",184.375
Đường Lê Văn Lương,Xã Phước Kiển,Huyện Nhà Bè,2,95.5998,,4,5,,"Nhà mặt phố, mặt tiền",7000000000,7 tỷ,73.22191
Đường Trần Thị Trọng,Phường 15,Quận Tân Bình,1,60,2,3,2,Hướng Đông Bắc,"Nhà ngõ, hẻm",5490000000,"5,49 tỷ",91.5
Vĩnh Viễn,Phường 5,Quận 10,1,31.1499,3,3,2,,"Nhà ngõ, hẻm",6900000000,"6,9 tỷ",221.50954
Đường Lê Quang Sung,Phường 9,Quận 6,1,58,2,3,4,,"Nhà ngõ, hẻm",3660000000,"3,66 tỷ",63.103447
Hẻm 83 Võ Thành Trang,Phường 11,Quận Tân Bình,1,56,,2,,,"Nhà ngõ, hẻm",4800000000,"4,8 tỷ",85.71429
Đường Cách Mạng Tháng Tám,Phường 11,Quận 3,1,10,2,4,5,,"Nhà ngõ, hẻm",4260000000,"4,26 tỷ",426
Đường Láng Le Bàu Cò,Xã Bình Chánh,Huyện Bình Chánh,1,80,22,3,2,,Nhà phố liền kề,2500000000,"2,5 tỷ",31.25
Đường Số 2,Phường 13,Quận 6,1,80,3,4,4,,"Nhà mặt phố, mặt tiền",10950000000,"10,95 tỷ",136.875
Đường Lạc Long Quân,Phường 10,Quận 11,1,91,,1,,Hướng Tây,"Nhà mặt phố, mặt tiền",22500000000,"22,5 tỷ",247.25275
Đường Lê Đình Cẩn,Phường Tân Tạo,Quận Bình Tân,1,100,,2,2,,"Nhà ngõ, hẻm",4150000000,"4,15 tỷ",41.5
Đường Huỳnh Văn Nghệ,Phường 12,Quận Gò Vấp,1,44,2,2,2,Hướng Đông Nam,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",87.5
Đường Lạc Long Quân,Phường 5,Quận 11,1,10,,4,,,"Nhà ngõ, hẻm",2900000000,"2,9 tỷ",290
Đường Ngô Chí Quốc,Phường Bình Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,50,,4,5,,"Nhà ngõ, hẻm",4199000000,"4,199 tỷ",83.98
Đường Vườn Lài,Phường An Phú Đông,Quận 12,1,79,2,4,3,,"Nhà mặt phố, mặt tiền",5750000000,"5,75 tỷ",72.78481
Đường Số 16,Phường Bình Hưng Hòa,Quận Bình Tân,1,44,,3,,,"Nhà ngõ, hẻm",3550000000,"3,55 tỷ",80.681816
Đường Âu Cơ,Phường 10,Quận Tân Bình,1,67,4,4,4,,"Nhà ngõ, hẻm",13500000000,"13,5 tỷ",201.49254
Đường Bình Thới,Phường 9,Quận 11,1,72,,3,,,"Nhà mặt phố, mặt tiền",1990000000,"1,99 tỷ",27.63889
Đường Nguyễn Văn Khối,Phường 8,Quận Gò Vấp,1,36,,2,,,"Nhà mặt phố, mặt tiền",3500000000,"3,5 tỷ",97.22222
Đường Kha Vạn Cân,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,5,40,,5,3,,"Nhà ngõ, hẻm",2150000000,"2,15 tỷ",53.75
TA11,Phường Thới An,Quận 12,1,64.4,,3,2,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",4200000000,"4,2 tỷ",65.21739
Đường Phú Thọ,Phường 1,Quận 11,1,60,,3,,,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",75
Đường Nguyễn Trãi,Phường 2,Quận 5,1,24,4,3,3,Hướng Đông Bắc,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",233.33333
Đông Thạnh 7-2,Xã Đông Thạnh,Huyện Hóc Môn,1,182,,2,,,"Nhà mặt phố, mặt tiền",6500000000,"6,5 tỷ",35.714287
Hẻm A9/16 Đường Bông Văn Dìa,Xã Tân Kiên,Huyện Bình Chánh,1,95,2,4,5,,"Nhà mặt phố, mặt tiền",1433000000,"1,433 tỷ",15.08421
Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,1,50.2999,2,2,3,Hướng Tây Bắc,Nhà phố liền kề,3750000000,"3,75 tỷ",74.55283
Đường Lê Văn Lương,Xã Phước Kiển,Huyện Nhà Bè,2,90,,4,,,"Nhà mặt phố, mặt tiền",8100000000,"8,1 tỷ",90
Trần Xuân Soan,Phường Tân Hưng,Quận 7,1,62.7999,2,4,2,Hướng Tây Bắc,Nhà phố liền kề,5780000000,"5,78 tỷ",92.03836
Đường Nguyễn Trãi,Phường 14,Quận 5,1,20,,3,,,"Nhà ngõ, hẻm",1690000000,"1,69 tỷ",84.5
Đường Âu Dương Lân,Phường 3,Quận 8,1,10,1,1,1,,Nhà phố liền kề,1320000000,"1,32 tỷ",132
Đường Trần Xuân Soạn,Phường Tân Hưng,Quận 7,1,48,3,3,3,,"Nhà ngõ, hẻm",3600000000,"3,6 tỷ",75
Đường Phú Thuận,Phường Phú Thuận,Quận 7,1,80,2,2,1,Hướng Tây,"Nhà ngõ, hẻm",6450000000,"6,45 tỷ",80.625
Đường Lò Gốm,Phường 8,Quận 6,1,99.5998,2,3,2,,"Nhà ngõ, hẻm",5950000000,"5,95 tỷ",59.739075
Tl37,Phường Thạnh Lộc,Quận 12,1,34,,2,2,,"Nhà mặt phố, mặt tiền",1200000000,"1,2 tỷ",35.294117
Đường số 11,Phường Bình Hưng Hòa,Quận Bình Tân,1,60,,4,2,Hướng Tây Bắc,"Nhà mặt phố, mặt tiền",4500000000,"4,5 tỷ",75
Đường Quốc lộ 50,Xã Phong Phú,Huyện Bình Chánh,1,50,2,3,2,,"Nhà ngõ, hẻm",1500000000,"1,5 tỷ",30
Tân Hiệp 39,Xã Tân Hiệp,Huyện Hóc Môn,1,300,,3,3,,"Nhà mặt phố, mặt tiền",8000000000,8 tỷ,26.666666
Đường Âu Dương Lân,Phường 3,Quận 8,1,40,2,2,2,Hướng Đông,"Nhà ngõ, hẻm",5000000000,5 tỷ,125
Đường Lê Văn Quới,Phường Bình Trị Đông,Quận Bình Tân,1,64,3,3,3,Hướng Đông,"Nhà ngõ, hẻm",6300000000,"6,3 tỷ",98.4375
Đường Nguyễn Thượng Hiền,Phường 5,Quận Phú Nhuận,1,42,,7,,,"Nhà mặt phố, mặt tiền",12400000000,"12,4 tỷ",295.2381
Đường Tân Chánh Hiệp 34,Phường Tân Chánh Hiệp,Quận 12,1,19.7,,1,1,,"Nhà ngõ, hẻm",1490000000,"1,49 tỷ",75.63452
Đường Tô Ký,Xã Thới Tam Thôn,Huyện Hóc Môn,1,160,,10,,,"Nhà ngõ, hẻm",7200000000,"7,2 tỷ",45
Đường Lê Sao,Phường Phú Thạnh,Quận Tân Phú,1,68,2,2,2,Hướng Đông Bắc,"Nhà mặt phố, mặt tiền",8300000000,"8,3 tỷ",122.05882
Đường Lưu Hữu Phước,Phường 15,Quận 8,1,40,2,2,2,Hướng Đông,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",95
Đường Nam Kỳ Khởi Nghĩa,Phường Võ Thị Sáu,Quận 3,1,35,3,3,3,,"Nhà ngõ, hẻm",3590000000,"3,59 tỷ",102.57143
Đường Xóm Đất,Phường 8,Quận 11,1,32,2,2,2,,"Nhà ngõ, hẻm",3150000000,"3,15 tỷ",98.4375
Đường Nguyễn Trọng Tuyển,Phường 15,Quận Phú Nhuận,1,37,3,3,3,,"Nhà ngõ, hẻm",3250000000,"3,25 tỷ",87.83784
Đường số 2,Phường Bình Hưng Hoà A,Quận Bình Tân,1,64,4,4,4,,"Nhà mặt phố, mặt tiền",9900000000,"9,9 tỷ",154.6875
Hẻm 209 Đường Nguyễn Văn Khối,Phường 8,Quận Gò Vấp,1,52.5,2,3,2,Hướng Tây Nam,"Nhà mặt phố, mặt tiền",4700000000,"4,7 tỷ",89.52381
Đường Số 20,Phường 5,Quận Gò Vấp,1,82,,3,2,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",79.268295
Đường Nguyễn Ảnh Thủ,Phường Tân Chánh Hiệp,Quận 12,1,10,,2,,,"Nhà ngõ, hẻm",600000000,600 triệu,60
Đường Hiệp Thành 26,Phường Hiệp Thành,Quận 12,1,90,1,4,2,,"Nhà ngõ, hẻm",3900000000,"3,9 tỷ",43.333332
Đường Phạm Văn Bạch,Phường 15,Quận Tân Bình,1,54,1,3,3,,"Nhà ngõ, hẻm",7250000000,"7,25 tỷ",134.25926
Đường Nguyễn Duy,Phường 9,Quận 8,1,50,3,4,4,Hướng Nam,"Nhà mặt phố, mặt tiền",7900000000,"7,9 tỷ",158
Đường Nguyễn Thái Sơn,Phường 3,Quận Gò Vấp,1,20,2,3,3,,"Nhà ngõ, hẻm",2530000000,"2,53 tỷ",126.5
Đường Tân Chánh Hiệp 18,Phường Tân Chánh Hiệp,Quận 12,1,50,,2,,,"Nhà ngõ, hẻm",3350000000,"3,35 tỷ",67
Đường Minh Phụng,Phường 6,Quận 6,1,42,2,4,2,,"Nhà ngõ, hẻm",3340000000,"3,34 tỷ",79.52381
Đường Nguyễn Văn Bứa,Xã Xuân Thới Sơn,Huyện Hóc Môn,1,48,2,2,2,Hướng Đông Bắc,"Nhà ngõ, hẻm",650000000,650 triệu,13.541667
Đường Dương Bá Trạc,Phường 2,Quận 8,1,18,2,1,2,Hướng Tây,"Nhà ngõ, hẻm",2480000000,"2,48 tỷ",137.77777
Đường Lê Trọng Tấn,Phường Bình Hưng Hòa,Quận Bình Tân,1,44,2,3,2,,"Nhà ngõ, hẻm",3550000000,"3,55 tỷ",80.681816
Đường Lã Xuân Oai,Phường Tăng Nhơn Phú A (Quận 9 cũ),Thành phố Thủ Đức,1,60,,7,7,Hướng Tây Bắc,"Nhà mặt phố, mặt tiền",6499999999,"6,499 tỷ",108.333336
Bình Phú,Phường 11,Quận 6,1,425,4,8,,,"Nhà mặt phố, mặt tiền",55000000000,55 tỷ,129.41176
Đường Phan Văn Trị,Phường 11,Quận Bình Thạnh,1,73,,5,6,,"Nhà ngõ, hẻm",12500000000,"12,5 tỷ",171.23288
Đường Tân Hòa Đông,Phường Bình Trị Đông,Quận Bình Tân,1,112,,3,2,,"Nhà mặt phố, mặt tiền",9400000000,"9,4 tỷ",83.92857
Đường Bình Phú,Phường 11,Quận 6,1,56,5,5,,,"Nhà mặt phố, mặt tiền",8600000000,"8,6 tỷ",153.57143
Đường số 8,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,100,2,3,3,,"Nhà mặt phố, mặt tiền",7700000000,"7,7 tỷ",77
Đường Gò Xoài,Phường Bình Hưng Hoà A,Quận Bình Tân,1,60,4,6,4,,"Nhà ngõ, hẻm",4790000000,"4,79 tỷ",79.833336
Nơ Trang Long,Phường 7,Quận Bình Thạnh,1,100,,5,,,"Nhà ngõ, hẻm",10990000000,"10,99 tỷ",109.9
Đường Nguyên Hồng,Phường 11,Quận Bình Thạnh,1,90,6,11,,,"Nhà ngõ, hẻm",12900000000,"12,9 tỷ",143.33333
Đường Nguyễn Văn Công,Phường 3,Quận Gò Vấp,1,16,4,3,3,,"Nhà ngõ, hẻm",2680000000,"2,68 tỷ",167.5
Đường số 4,Phường 16,Quận Gò Vấp,1,28,2,2,2,Hướng Đông Bắc,"Nhà ngõ, hẻm",3980000000,"3,98 tỷ",142.14285
Đường Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,1,54.5,1,1,1,Hướng Bắc,"Nhà ngõ, hẻm",4300000000,"4,3 tỷ",78.899086
Đường Số 1A,Phường Bình Hưng Hoà A,Quận Bình Tân,1,46,4,4,5,,"Nhà mặt phố, mặt tiền",5900000000,"5,9 tỷ",128.26086
Đường Số 1A,Phường Bình Hưng Hoà A,Quận Bình Tân,1,46,4,4,5,,"Nhà mặt phố, mặt tiền",5900000000,"5,9 tỷ",128.26086
Đường Sơn Hưng,Phường 12,Quận Tân Bình,1,115,,1,,,"Nhà mặt phố, mặt tiền",13500000000,"13,5 tỷ",117.391304
Đường Minh Phụng,Phường 2,Quận 11,1,55,6,5,,,"Nhà mặt phố, mặt tiền",18500000000,"18,5 tỷ",336.36365
Đường Nơ Trang Long,Phường 13,Quận Bình Thạnh,1,60,5,4,5,,"Nhà ngõ, hẻm",8900000000,"8,9 tỷ",148.33333
Liên Khu 2-5,Phường Hiệp Thành,Quận 12,1,24,,2,2,,"Nhà ngõ, hẻm",2000000000,2 tỷ,83.333336
Đường Nguyễn Ảnh Thủ,Phường Hiệp Thành,Quận 12,5,16,,2,1,,Nhà phố liền kề,890000000,890 triệu,55.625
Đường Nguyễn Thị Kiểu,Phường Hiệp Thành,Quận 12,5,27.84,,3,3,,Nhà phố liền kề,1890000000,"1,89 tỷ",67.88793
Trần Bình Trọng,Phường 7,Quận Bình Thạnh,1,93,,5,,,"Nhà mặt phố, mặt tiền",13500000000,"13,5 tỷ",145.16129
Đường Tân Hòa Đông,Phường Bình Trị Đông,Quận Bình Tân,1,52,2,2,2,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",95.19231
Đường Tây Thạnh,Phường Tây Thạnh,Quận Tân Phú,1,20,2,2,2,Hướng Đông,"Nhà ngõ, hẻm",1450000000,"1,45 tỷ",72.5
Lê văn lương ,Phường Tân Hưng,Quận 7,1,23.2,1,2,1,,"Nhà ngõ, hẻm",2650000000,"2,65 tỷ",114.22414
Đường Nguyễn Văn Quá,Phường Đông Hưng Thuận,Quận 12,1,72,2,5,2,,"Nhà ngõ, hẻm",4200000000,"4,2 tỷ",58.333332
Đường Điện Biên Phủ,Phường 21,Quận Bình Thạnh,1,38,2,2,2,,"Nhà ngõ, hẻm",5690000000,"5,69 tỷ",149.73685
Đường 38,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,5,100,,3,2,,"Nhà ngõ, hẻm",3200000000,"3,2 tỷ",32
Đường số 4,Xã Tân Kiên,Huyện Bình Chánh,1,86,1,3,2,Hướng Tây Bắc,"Nhà mặt phố, mặt tiền",1290000000,"1,29 tỷ",15
Đường Hậu Giang,Phường 12,Quận 6,1,16,3,3,,,"Nhà ngõ, hẻm",2350000000,"2,35 tỷ",146.875
Hẻm 338/5 Nguyễn Xí,Phường 13,Quận Bình Thạnh,1,69,1,2,2,,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",108.695656
Đường Huỳnh Tấn Phát,Thị trấn Nhà Bè,Huyện Nhà Bè,1,21,2,2,2,,"Nhà ngõ, hẻm",1530000000,"1,53 tỷ",72.85714
Đường Bảy Tấn,Xã An Phú Tây,Huyện Bình Chánh,1,72,1,3,3,,"Nhà mặt phố, mặt tiền",1022222222,"1,022 tỷ",14.197531
Đường Thoại Ngọc Hầu,Phường Phú Thạnh,Quận Tân Phú,1,48,,2,2,,"Nhà ngõ, hẻm",3200000000,"3,2 tỷ",66.666664
Đường Thoại Ngọc Hầu,Phường Phú Thạnh,Quận Tân Phú,1,48,,2,2,,"Nhà ngõ, hẻm",3200000000,"3,2 tỷ",66.666664
Đường số 18B,Xã Bình Chánh,Huyện Bình Chánh,1,90,1,3,2,,"Nhà ngõ, hẻm",1690000000,"1,69 tỷ",18.777779
Đường Lê Văn Lương,Phường Tân Hưng,Quận 7,1,40,1,2,2,,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",112.5
TA15,Phường Thới An,Quận 12,5,31.35,,2,2,,"Nhà ngõ, hẻm",1540000000,"1,54 tỷ",49.122807
Đường Hậu Giang,Phường 5,Quận 6,1,34,3,3,3,,"Nhà ngõ, hẻm",5300000000,"5,3 tỷ",155.88235
Đường Lê Văn Việt,Phường Tăng Nhơn Phú A (Quận 9 cũ),Thành phố Thủ Đức,1,72,3,3,3,,"Nhà ngõ, hẻm",7000000000,7 tỷ,97.22222
Đường Trần Văn Kiểu,Phường 11,Quận 6,1,76,,5,,,"Nhà mặt phố, mặt tiền",12500000000,"12,5 tỷ",164.47368
Đường số 10,Phường Linh Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,50,4,3,3,Hướng Tây Bắc,"Nhà mặt phố, mặt tiền",6450000000,"6,45 tỷ",129
Đường Nguyễn Ðình Chiểu,Phường 2,Quận 3,1,30,,2,2,,"Nhà ngõ, hẻm",6400000000,"6,4 tỷ",213.33333
